campus_id,timestamp,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
0,13-08-2024,27,,,16.5,1004.6,293,9.3
0,14-08-2024,27.3,,,13,1005.1,295,10.4
0,15-08-2024,26.8,,,42.9,1003.7,303,8.1
0,16-08-2024,27.6,,,53.1,1003.3,268,8.3
0,17-08-2024,29.2,,,0,1005.5,243,6.5
0,18-08-2024,30,,,0.2,1006.7,315,8.1
0,19-08-2024,29.7,,,0.1,1006,303,7.3
0,20-08-2024,28.4,,,0.2,1005.8,302,7.8
0,21-08-2024,27.4,,,19.1,1006.9,303,6.1
0,22-08-2024,27.8,,,15,1005.9,315,4.1
0,23-08-2024,27.9,,,1.8,1005.5,338,4.3
0,24-08-2024,28.5,,,10.5,1004.5,47,5.4
0,25-08-2024,27.9,,,55.1,1000.4,67,15.1
0,26-08-2024,26.7,,,2,999.1,92,16.8
0,27-08-2024,27.1,,,50,1001.6,118,11.5
0,28-08-2024,27.7,,,,1003.1,128,8.8
0,29-08-2024,27.7,,,,1002.7,145,8.5
0,30-08-2024,27.9,,,,1003.9,101,8.1
0,31-08-2024,29.1,,,,1004.4,60,6.3
0,01-09-2024,29.4,,,,1004.1,319,8.1
0,02-09-2024,27.9,,,119.9,1004.1,51,8
0,03-09-2024,28.7,,,,1003.9,77,11.8
0,04-09-2024,26.1,,,19.1,1004.9,80,6.2
0,05-09-2024,26.8,,,19.1,1003.3,349,6
0,06-09-2024,26.2,,,9.9,1004.5,44,5.4
0,07-09-2024,26.2,,,5.1,1005.3,67,6.2
0,08-09-2024,26.5,,,5.1,1005.6,20,5
0,09-09-2024,28.1,,,4.9,1003.7,16,5
0,10-09-2024,27.9,,,0,1002.6,349,6
0,11-09-2024,27.4,,,65,1002.4,3,6.8
0,12-09-2024,27.9,,,8.6,1001.7,313,11
0,13-09-2024,28.1,,,0.6,1003.8,284,16.4
0,14-09-2024,27.8,,,0,1005,279,11.3
0,15-09-2024,28.6,,,0,1005.8,291,11
0,16-09-2024,28.9,,,0,1007.2,302,10.8
0,17-09-2024,28.2,,,0,1008,349,10.9
0,18-09-2024,26.9,,,0.8,1005.8,43,9
0,19-09-2024,25.2,,,0.8,1006.3,48,5
0,20-09-2024,27,,,0.2,1006.7,38,3.1
0,21-09-2024,29.3,,,0,1007.6,80,3.9
0,22-09-2024,30.5,,,0,1007.1,344,4.2
0,23-09-2024,30.9,,,0,1007.1,359,3.3
0,24-09-2024,31.2,,,0,1005.7,33,4.1
0,25-09-2024,30.8,,,0.2,1005.4,95,7.6
0,26-09-2024,28.6,,,0.1,1005.2,87,11.4
0,27-09-2024,28.1,,,0,1005,73,11.9
0,28-09-2024,27.4,,,0,1007.3,82,9.2
0,29-09-2024,28.8,,,0,1010.1,75,7.3
0,30-09-2024,30.8,,,0,1009.9,317,5.6
0,01-10-2024,31.4,,,0,1007.4,293,9.2
0,02-10-2024,32,,,0,1007.1,292,16
0,03-10-2024,31.2,,,0,1006.6,291,14.4
0,04-10-2024,30.3,,,0,1007.2,284,12.3
0,05-10-2024,29.7,,,0,1009.3,293,9.1
0,06-10-2024,29.4,,,0.5,1012.9,330,7.5
0,07-10-2024,30,,,0,1014.1,46,6.5
0,08-10-2024,30.2,,,0,1013.7,30,5.6
0,09-10-2024,29.6,,,0,1011.5,46,6.3
0,10-10-2024,28,,,0,1011.1,45,6.4
0,11-10-2024,28.4,,,0,1010.9,48,6.5
0,12-10-2024,28.5,,,0,1011.8,147,5.7
0,13-10-2024,26.8,,,0.2,1013,187,7
0,14-10-2024,27.8,,,0,1012.9,91,5.5
0,15-10-2024,27.5,,,0,1012.4,25,6
0,16-10-2024,27.8,,,0,1011.3,320,4.9
0,17-10-2024,29,,,0,1011,303,4.3
0,18-10-2024,28.8,,,0,1011,25,3.9
0,19-10-2024,28.7,,,0,1011.7,16,4.8
0,20-10-2024,28.3,,,0,1012.4,126,5.4
0,21-10-2024,28.4,,,0,1013,137,7.1
0,22-10-2024,28.7,,,0,1013.6,41,7.8
0,23-10-2024,28.1,,,0,1013.7,56,6.9
0,24-10-2024,27.3,,,0,1013.1,8,7.2
0,25-10-2024,27.3,,,0,1012,351,3.1
0,26-10-2024,28,,,0,1011.6,350,4.2
0,27-10-2024,27.4,,,0,1010.3,57,4
0,28-10-2024,27.3,,,0,1009.4,111,6.3
0,29-10-2024,28,,,0,1010,131,4.4
0,30-10-2024,29,,,0,1011.1,321,4.8
0,31-10-2024,29,,,0,1012.8,320,7.5
0,01-11-2024,27.1,,,0,1013.7,321,6.5
0,02-11-2024,26.9,,,0,1014.1,322,3.9
0,03-11-2024,26.3,,,0,1014.7,6,4.6
0,04-11-2024,25.2,,,0,1013.7,56,3.1
0,05-11-2024,25.8,,,0,1015.2,55,4.1
0,06-11-2024,25.6,,,0,1015.6,77,4.5
0,07-11-2024,26.1,,,0,1014.7,26,5
0,08-11-2024,26.1,,,0,1014.4,80,5.3
0,09-11-2024,25.8,,,0,1014.8,19,3.9
0,10-11-2024,26.1,,,0,1014.9,324,5.5
0,11-11-2024,25.2,,,0,1014.8,354,3.4
0,12-11-2024,25.4,,,0,1014.7,17,4.2
0,13-11-2024,24.7,,,0,1013.9,349,3.4
0,14-11-2024,24.1,,,0,1015.4,69,5.7
0,15-11-2024,23.4,,,0,1015.3,331,3.6
0,16-11-2024,23.9,,,0,1014,337,2.7
0,17-11-2024,22.8,,,0,1014.7,335,7.4
0,18-11-2024,20.2,,,0,1017,31,6.8
0,19-11-2024,19.8,,,0,1018.1,343,5.3
0,20-11-2024,19.8,,,0,1016.9,37,4
0,21-11-2024,19.6,,,0,1016.6,119,4.8
0,22-11-2024,19.2,,,0,1015.8,351,2.7
0,23-11-2024,19.8,,,0,1016.3,321,3.3
0,24-11-2024,20.5,,,0,1016.7,315,3.5
0,25-11-2024,21.1,,,0,1016.5,324,6.5
0,26-11-2024,20.7,,,0,1016.4,336,4.4
0,27-11-2024,21.1,,,0,1015.6,6,5.8
0,28-11-2024,19.8,,,0,1016.9,67,6.3
0,29-11-2024,18.5,,,0,1017.7,53,6.4
0,30-11-2024,19.5,,,0,1016.2,48,5.5
0,01-12-2024,19.7,,,0,1014.7,32,6.1
0,02-12-2024,20.1,,,0,1014.6,53,6.6
0,03-12-2024,20.1,,,0,1016.7,45,4
0,04-12-2024,19.9,,,0,1016.4,327,5.3
0,05-12-2024,18.6,,,0,1016,325,4.2
0,06-12-2024,18,,,0,1014.6,316,5.7
0,07-12-2024,18.2,,,0,1013.3,56,6
0,08-12-2024,18.1,,,0,1012.6,146,13.2
0,09-12-2024,15.9,,,0,1016,323,9.8
0,10-12-2024,15.2,,,0,1018.6,1,4.9
0,11-12-2024,14.7,,,0,1018.6,7,3.2
0,12-12-2024,15.2,,,,1017.8,19,5.3
0,13-12-2024,16.3,,,,1019.3,350,6.2
0,14-12-2024,15.6,,,0,1019.4,338,4.6
0,15-12-2024,15.3,,,0,1019.9,75,3.7
0,16-12-2024,14.8,,,0,1018.2,75,3.8
0,17-12-2024,15.3,,,0,1016.4,69,5.6
0,18-12-2024,13.1,,,0,1016.2,79,4.7
0,19-12-2024,15.7,,,0,1015,83,15
0,20-12-2024,15.7,,,0,1015,79,13.6
